HomoloGene ID,Common Organism Name,NCBI Taxon ID,Symbol
3,"mouse, laboratory",10090,Acadm
3,human,9606,ACADM
5,"mouse, laboratory",10090,Acadvl
5,human,9606,ACADVL
6,"mouse, laboratory",10090,Acat1
6,human,9606,ACAT1
7,"mouse, laboratory",10090,Acvr1
7,human,9606,ACVR1
9,"mouse, laboratory",10090,Sgca
9,human,9606,SGCA
12,"mouse, laboratory",10090,Adsl
12,human,9606,ADSL
13,"mouse, laboratory",10090,Aga
13,human,9606,AGA
14,"mouse, laboratory",10090,Agt
14,human,9606,AGT
16,"mouse, laboratory",10090,Alad
16,human,9606,ALAD
17,"mouse, laboratory",10090,Alas2
17,human,9606,ALAS2
20,"mouse, laboratory",10090,Ampd1
20,human,9606,AMPD1
26,"mouse, laboratory",10090,Apoh
26,human,9606,APOH
27,"mouse, laboratory",10090,Fas
27,human,9606,FAS
28,"mouse, laboratory",10090,Ar
28,human,9606,AR
29,"mouse, laboratory",10090,Arg1
29,human,9606,ARG1
32,"mouse, laboratory",10090,Asl
32,human,9606,ASL
33,"mouse, laboratory",10090,Aspa
33,human,9606,ASPA
35,"mouse, laboratory",10090,Atp7a
35,human,9606,ATP7A
39,"mouse, laboratory",10090,Bckdhb
39,human,9606,BCKDHB
41,"mouse, laboratory",10090,Brca2
41,human,9606,BRCA2
44,"mouse, laboratory",10090,Serping1
44,human,9606,SERPING1
45,"mouse, laboratory",10090,C2
45,human,9606,C2
47,"mouse, laboratory",10090,C6
47,human,9606,C6
48,"mouse, laboratory",10090,C8b
48,human,9606,C8B
52,"mouse, laboratory",10090,Capn3
52,human,9606,CAPN3
55,"mouse, laboratory",10090,Cd3g
55,human,9606,CD3G
56,"mouse, laboratory",10090,Cd40lg
56,human,9606,CD40LG
58,"mouse, laboratory",10090,Cdkn1c
58,human,9606,CDKN1C
59,"mouse, laboratory",10090,Chrna1
59,human,9606,CHRNA1
60,"mouse, laboratory",10090,Chrne
60,human,9606,CHRNE
61,"mouse, laboratory",10090,Lyst
61,human,9606,LYST
62,"mouse, laboratory",10090,Ercc8
62,human,9606,ERCC8
63,"mouse, laboratory",10090,Clcn1
63,human,9606,CLCN1
65,"mouse, laboratory",10090,Clcnka
65,human,9606,CLCNKB
69,"mouse, laboratory",10090,Col1a2
69,human,9606,COL1A2
73,"mouse, laboratory",10090,Col7a1
73,human,9606,COL7A1
74,"mouse, laboratory",10090,Comp
74,human,9606,COMP
75,"mouse, laboratory",10090,Cp
75,human,9606,CP
76,"mouse, laboratory",10090,Cpox
76,human,9606,CPOX
77,"mouse, laboratory",10090,Cpt2
77,human,9606,CPT2
78,"mouse, laboratory",10090,Cst3
78,human,9606,CST3
79,"mouse, laboratory",10090,Cstb
79,human,9606,CSTB
80,"mouse, laboratory",10090,Cyba
80,human,9606,CYBA
83,"mouse, laboratory",10090,Ddb2
83,human,9606,DDB2
84,"mouse, laboratory",10090,Dld
84,human,9606,DLD
85,"mouse, laboratory",10090,Dpyd
85,human,9606,DPYD
88,"mouse, laboratory",10090,Edn3
88,human,9606,EDN3
89,"mouse, laboratory",10090,Ednrb
89,human,9606,EDNRB
91,"mouse, laboratory",10090,Emd
91,human,9606,EMD
92,"mouse, laboratory",10090,Eng
92,human,9606,ENG
93,"mouse, laboratory",10090,Epb4.2
93,human,9606,EPB42
94,"mouse, laboratory",10090,Ephx1
94,human,9606,EPHX1
95,"mouse, laboratory",10090,Epor
95,human,9606,EPOR
96,"mouse, laboratory",10090,Ercc3
96,human,9606,ERCC3
100,"mouse, laboratory",10090,Etfa
100,human,9606,ETFA
104,"mouse, laboratory",10090,F5
104,human,9606,F5
106,"mouse, laboratory",10090,F9
106,human,9606,F9
107,"mouse, laboratory",10090,Fabp2
107,human,9606,FABP2
108,"mouse, laboratory",10090,Fanca
108,human,9606,FANCA
109,"mouse, laboratory",10090,Fancc
109,human,9606,FANCC
110,"mouse, laboratory",10090,Fah
110,human,9606,FAH
112,"mouse, laboratory",10090,Ms4a2
112,human,9606,MS4A2
113,"mouse, laboratory",10090,Fech
113,human,9606,FECH
115,"mouse, laboratory",10090,Fh1
115,human,9606,FH
117,"mouse, laboratory",10090,Fshr
117,human,9606,FSHR
119,"mouse, laboratory",10090,Fuca2
119,human,9606,FUCA2
120,"mouse, laboratory",10090,Fut1
120,human,9606,FUT1
124,"mouse, laboratory",10090,Galc
124,human,9606,GALC
125,"mouse, laboratory",10090,Galk1
125,human,9606,GALK1
126,"mouse, laboratory",10090,Galt
126,human,9606,GALT
129,"mouse, laboratory",10090,Gbe1
129,human,9606,GBE1
130,"mouse, laboratory",10090,Gcdh
130,human,9606,GCDH
131,"mouse, laboratory",10090,Gcgr
131,human,9606,GCGR
132,"mouse, laboratory",10090,Gch1
132,human,9606,GCH1
134,"mouse, laboratory",10090,Ghr
134,human,9606,GHR
136,"mouse, laboratory",10090,Gja1
136,human,9606,GJA1
137,"mouse, laboratory",10090,Gjb1
137,human,9606,GJB1
139,"mouse, laboratory",10090,Gli3
139,human,9606,GLI3
141,"mouse, laboratory",10090,Gldc
141,human,9606,GLDC
142,"mouse, laboratory",10090,Glra3
142,human,9606,GLRA3
143,"mouse, laboratory",10090,Gp1ba
143,human,9606,GP1BA
144,"mouse, laboratory",10090,Gp9
144,human,9606,GP9
145,"mouse, laboratory",10090,Gpi1
145,human,9606,GPI
147,"mouse, laboratory",10090,Gsn
147,human,9606,GSN
148,"mouse, laboratory",10090,Gss
148,human,9606,GSS
149,"mouse, laboratory",10090,Msh6
149,human,9606,MSH6
152,"mouse, laboratory",10090,Hadha
152,human,9606,HADHA
153,"mouse, laboratory",10090,Hadhb
153,human,9606,HADHB
156,"mouse, laboratory",10090,Hgd
156,human,9606,HGD
158,"mouse, laboratory",10090,Hmbs
158,human,9606,HMBS
159,"mouse, laboratory",10090,Hmgcl
159,human,9606,HMGCL
160,"mouse, laboratory",10090,Tbx5
160,human,9606,TBX5
163,"mouse, laboratory",10090,Hps1
163,human,9606,HPS1
167,"mouse, laboratory",10090,Sgsh
167,human,9606,SGSH
168,"mouse, laboratory",10090,Icam1
168,human,9606,ICAM1
169,"mouse, laboratory",10090,Ids
169,human,9606,IDS
170,"mouse, laboratory",10090,Idua
170,human,9606,IDUA
171,"mouse, laboratory",10090,Cfi
171,human,9606,CFI
172,"mouse, laboratory",10090,Il2rg
172,human,9606,IL2RG
173,"mouse, laboratory",10090,Ins2
173,human,9606,INS
175,"mouse, laboratory",10090,Pdx1
175,human,9606,PDX1
179,"mouse, laboratory",10090,Itgb4
179,human,9606,ITGB4
180,"mouse, laboratory",10090,Jag1
180,human,9606,JAG1
181,"mouse, laboratory",10090,Jak3
181,human,9606,JAK3
183,"mouse, laboratory",10090,Kcna1
183,human,9606,KCNA1
185,"mouse, laboratory",10090,Kcne1
185,human,9606,KCNE1
187,"mouse, laboratory",10090,Kit
187,human,9606,KIT
188,"mouse, laboratory",10090,Krt12
188,human,9606,KRT12
191,"mouse, laboratory",10090,Lamb3
191,human,9606,LAMB3
193,"mouse, laboratory",10090,Lep
193,human,9606,LEP
194,"mouse, laboratory",10090,Sgcg
194,human,9606,SGCG
195,"mouse, laboratory",10090,Sgcb
195,human,9606,SGCB
197,"mouse, laboratory",10090,Lig1
197,human,9606,LIG1
199,"mouse, laboratory",10090,Lipc
199,human,9606,LIPC
200,"mouse, laboratory",10090,Lpl
200,human,9606,LPL
201,"mouse, laboratory",10090,Kcnh2
201,human,9606,KCNH2
203,"mouse, laboratory",10090,Maoa
203,human,9606,MAOA
206,"mouse, laboratory",10090,Met
206,human,9606,MET
207,"mouse, laboratory",10090,Ciita
207,human,9606,CIITA
208,"mouse, laboratory",10090,Mlh1
208,human,9606,MLH1
210,"mouse, laboratory",10090,Msh2
210,human,9606,MSH2
212,"mouse, laboratory",10090,Mttp
212,human,9606,MTTP
215,"mouse, laboratory",10090,Mybpc3
215,human,9606,MYBPC3
219,"mouse, laboratory",10090,Myo7a
219,human,9606,MYO7A
220,"mouse, laboratory",10090,Myoc
220,human,9606,MYOC
221,"mouse, laboratory",10090,Naga
221,human,9606,NAGA
222,"mouse, laboratory",10090,Naglu
222,human,9606,NAGLU
223,"mouse, laboratory",10090,Ptch1
223,human,9606,PTCH1
225,"mouse, laboratory",10090,Ndp
225,human,9606,NDP
226,"mouse, laboratory",10090,Nf1
226,human,9606,NF1
227,"mouse, laboratory",10090,Pnp
227,"mouse, laboratory",10090,Pnp2
227,human,9606,PNP
228,"mouse, laboratory",10090,Npc1
228,human,9606,NPC1
229,"mouse, laboratory",10090,Nphp1
229,human,9606,NPHP1
230,"mouse, laboratory",10090,Gpr143
230,human,9606,GPR143
231,"mouse, laboratory",10090,Oat
231,human,9606,OAT
233,"mouse, laboratory",10090,Ocrl
233,human,9606,OCRL
234,"mouse, laboratory",10090,Pah
234,human,9606,PAH
236,"mouse, laboratory",10090,Pcca
236,human,9606,PCCA
237,"mouse, laboratory",10090,Pde6b
237,human,9606,PDE6B
239,"mouse, laboratory",10090,Pepd
239,human,9606,PEPD
240,"mouse, laboratory",10090,Pex12
240,human,9606,PEX12
242,"mouse, laboratory",10090,Pex7
242,human,9606,PEX7
246,"mouse, laboratory",10090,Phka2
246,human,9606,PHKA2
247,"mouse, laboratory",10090,Phkb
247,human,9606,PHKB
250,"mouse, laboratory",10090,Pkd1
250,human,9606,PKD1
253,"mouse, laboratory",10090,Pkp1
253,human,9606,PKP1
254,human,9606,PLA2G2A
256,"mouse, laboratory",10090,Plod1
256,human,9606,PLOD1
257,"mouse, laboratory",10090,Pmm2
257,human,9606,PMM2
259,"mouse, laboratory",10090,Pou1f1
259,human,9606,POU1F1
260,"mouse, laboratory",10090,Pou3f4
260,human,9606,POU3F4
262,"mouse, laboratory",10090,Ppox
262,human,9606,PPOX
264,"mouse, laboratory",10090,Pros1
264,human,9606,PROS1
265,"mouse, laboratory",10090,Pten
265,human,9606,PTEN
266,"mouse, laboratory",10090,Pth
266,human,9606,PTH
267,"mouse, laboratory",10090,Pth1r
267,human,9606,PTH1R
268,"mouse, laboratory",10090,Pts
268,human,9606,PTS
269,"mouse, laboratory",10090,Pex2
269,human,9606,PEX2
270,"mouse, laboratory",10090,Pex5
270,human,9606,PEX5
271,"mouse, laboratory",10090,Qdpr
271,human,9606,QDPR
272,"mouse, laboratory",10090,Rb1
272,human,9606,RB1
273,"mouse, laboratory",10090,Prph2
273,human,9606,PRPH2
276,"mouse, laboratory",10090,Rom1
276,human,9606,ROM1
279,"mouse, laboratory",10090,Rs1
